odor,DA4m,DL5,VM3,DL1,DC1,DM2,DA3,,VC3,DA4l,VM2,DM3,VA1v,VA5,DM4,DL3,DM6,VC4,VA6,DM5,,DL4,VA1d,VM5v,cas_number
odor,2a,7a,9a,10a,19a,22a,23a,33b,35a,43a,43b,47a,47b,49b,59b,65a,67a,67c,82a,85a,85b,85f,88a,98a,
propanal,18,-16,6,-1,-52,36,-5,3,-6,-31,15,12,-40,-8,12,-7,5,15,-15,15,52,8,-9,11,123-38-6
butanal,43,54,6,-2,-38,53,-6,0,65,-11,51,20,-26,-7,9,-4,62,21,7,5,53,18,-3,26,123-72-8
pentanal,22,171,24,6,-20,69,-5,3,82,-13,12,28,-22,-8,11,1,45,20,10,-2,54,26,-2,27,110-62-3
hexanal,19,177,34,28,-29,139,13,-10,185,-4,44,46,-21,-4,17,13,29,15,8,20,224,43,-9,29,66-25-1
E2-hexenal,17,221,38,-8,58,49,45,-8,227,41,84,37,18,6,3,-2,117,47,-6,11,145,35,-8,28,1335-39-3
furfural,11,176,93,34,-22,29,18,28,176,-17,34,6,-19,-4,50,-1,182,36,39,-2,61,59,-12,33,39276-09-0
2-propenal,14,31,3,-7,-12,32,-6,6,-9,-7,11,8,-16,-3,19,2,21,5,-5,19,36,2,4,22,107-02-8
acetone,1,-10,29,0,-25,38,-7,-10,8,-16,11,3,-6,-3,130,-7,27,-5,-4,-5,28,18,-9,-1,4468-52-4
2-butanone,8,9,94,7,-16,84,3,7,13,-8,25,16,-15,3,144,-2,67,21,17,1,39,41,-14,4,135311-02-3
2-pentanone,30,2,130,19,-1,148,13,10,112,12,75,74,-31,3,60,12,70,60,32,-8,115,52,-19,11,107-87-9
2-heptanone,39,-2,106,17,131,111,25,0,119,42,71,209,-10,21,25,35,170,36,32,33,190,40,19,189,110-43-0
6-methyl-5-hepten-2-one,46,-24,58,8,69,85,28,-11,-12,7,46,40,6,-5,0,49,234,16,61,-7,257,34,-15,232,110-93-0
"2,3-butanedione",3,13,60,22,35,48,15,11,13,11,69,25,7,6,97,8,84,42,20,40,71,14,11,34,151677-70-2
phenethyl alcohol,2,3,17,-16,14,46,-2,29,120,28,6,9,-20,45,2,-6,236,67,25,3,20,8,4,-8,1321-27-3
benzyl alcohol,-4,5,30,-5,-9,40,-5,34,44,52,0,8,-21,111,14,-3,116,26,23,-4,19,25,1,1,100-51-6
methyl salicylate,5,-6,13,258,1,-2,-1,-7,2,20,12,-6,6,48,-4,-13,35,-2,-5,2,-8,5,-7,8,119-36-8
methyl benzoate,1,-27,43,265,-12,43,-6,-12,-14,-3,32,38,-4,19,-2,-2,208,10,31,4,29,46,-9,226,1082718-77-1
ethyl benzoate,1,-20,29,268,-6,49,-6,-3,-16,-26,6,27,-11,-6,-5,-6,198,-4,-4,-14,14,21,-5,273,56973-61-6
phenethyl acetate,11,-13,18,-12,7,40,-4,0,-13,-12,2,24,-15,7,34,17,185,1,19,-8,28,7,-4,24,103-45-7
benzaldehyde,5,200,57,123,-15,32,-5,-5,83,36,12,22,-18,101,6,-10,200,6,-10,7,37,49,-3,30,100-52-7
phenylacetaldehyde,10,43,14,64,-30,44,1,7,-17,-6,8,27,-17,79,7,3,153,17,9,10,39,20,0,27,122-78-1
acetophenone,-3,10,62,254,5,32,-6,-16,10,37,10,38,-6,79,5,12,184,35,-16,-25,22,84,-12,29,98-86-2
ethyl cinnamate,-4,-6,-2,-7,-21,12,-1,3,-10,-19,2,-1,-1,3,-2,2,75,-1,-1,-7,35,-11,4,7,103-36-6
2-methylphenol,-11,-27,36,-17,-16,9,-8,-16,-12,77,35,-11,-27,250,-7,-18,57,2,-14,-14,27,31,-14,-21,3235-09-4
4-ethyl guaiacol,-1,-10,14,2,-10,7,-9,-3,-3,-5,3,-2,-5,-2,6,-8,4,31,-7,-6,39,14,-1,1,2785-89-9
eugenol,4,-10,10,64,-16,7,1,-6,-7,-14,10,0,-4,-6,21,-7,7,-3,-1,-4,34,12,-3,50,97-53-0
methanol,10,22,25,5,-16,55,-3,35,38,-2,14,13,-21,9,18,3,3,20,3,14,17,6,-8,5,1173023-83-0
ethanol,4,33,21,12,-12,55,6,36,34,-7,13,9,-22,1,13,2,4,26,16,17,27,2,-12,3,121182-78-3
1-propanol,33,180,52,-4,10,58,5,27,55,-13,33,16,-18,1,12,-5,16,48,17,0,47,22,-6,-9,142583-61-7
1-butanol,45,195,103,-5,49,120,41,39,199,-1,73,24,-25,26,44,-2,65,72,38,2,44,28,0,-7,107569-51-7
1-pentanol,35,166,160,11,84,179,73,42,188,77,109,62,-31,44,55,1,148,126,55,47,169,56,8,75,30899-19-5
1-hexanol,40,96,102,10,146,63,51,1,237,133,73,58,-35,31,35,7,173,109,58,137,183,64,16,158,111-27-3
1-octanol,1,-18,20,-18,92,53,1,3,222,-13,28,7,-32,-6,-7,-4,44,11,35,4,56,10,-20,24,111-87-5
2-pentanol,38,78,227,17,74,113,41,45,162,96,168,77,-33,32,39,8,33,98,60,45,144,58,5,81,113244-42-1
3-methylbutanol,30,157,97,-6,78,104,33,33,222,54,49,24,-33,20,25,-1,67,81,58,-15,24,41,4,14,123-51-3
3-methyl-2-buten-1-ol,36,196,59,-5,58,101,25,41,176,30,53,19,-25,35,26,4,215,95,42,11,25,37,7,194,135146-66-6
1-penten-3-ol,34,124,209,-7,64,58,29,44,37,58,103,39,-35,32,39,-1,8,109,45,20,21,40,-6,-6,113630-30-1
1-octen-3-ol,27,9,54,-6,149,121,19,-17,141,100,44,90,-30,15,15,16,164,24,34,40,180,31,-16,197,3391-86-4
E2-hexenol,35,180,110,-8,79,87,41,21,223,32,89,31,-33,41,20,4,109,142,16,68,254,63,-8,214,114411-82-4
Z2-hexenol,34,151,88,-15,85,111,55,21,202,76,173,30,-34,20,26,-6,105,99,37,9,149,50,-12,92,928-94-9
E3-hexenol,45,154,198,13,74,82,40,29,213,44,55,28,-34,29,32,7,160,102,34,149,241,71,-17,137,544-12-7
Z3-hexenol,29,150,154,-5,84,81,36,30,204,98,79,52,-29,37,42,-6,116,111,34,87,195,55,-16,138,82658-58-0
glycerol,2,-2,8,-8,-21,4,-7,15,-4,-18,5,2,-1,0,-4,-3,-2,-1,-4,1,-1,2,8,-2,101662-08-2
"2,3-butanediol",6,-15,247,-5,-19,50,-4,36,4,-11,110,2,-11,-5,10,-6,13,35,24,13,16,9,0,8,123513-85-9
methyl acetate,5,-6,24,9,-13,54,2,15,-6,-12,22,25,-21,-5,269,-3,7,7,15,-10,29,12,14,4,79-20-9
ethyl acetate,-3,6,37,6,7,53,2,10,18,8,132,86,-7,15,177,0,43,29,17,65,18,12,5,23,141-78-6
propyl acetate,31,-4,161,67,-1,198,12,13,102,12,174,214,-34,11,66,2,75,63,15,-13,163,48,11,154,109-60-4
butyl acetate,51,-19,151,128,31,212,29,12,63,20,138,205,-38,19,48,23,164,45,36,-11,249,56,0,227,123-86-4
pentyl acetate,35,-4,85,-1,130,158,20,-12,191,12,89,241,-24,8,65,34,216,17,21,30,190,35,9,191,628-63-7
hexyl acetate,29,-19,44,-19,50,172,2,11,206,-3,16,201,-37,-3,39,42,50,2,24,-9,34,2,3,78,142-92-7
isobutyl acetate,31,38,172,212,48,251,9,15,26,25,177,183,-28,-3,44,4,31,73,29,-23,133,39,7,208,110-19-0
isopentyl acetate,65,-33,139,208,81,232,21,6,22,17,96,122,-38,11,46,10,129,48,39,-16,231,27,-1,248,123-92-2
E2-hexenyl acetate,22,204,30,-4,37,194,4,13,227,-17,7,59,-32,6,45,36,73,12,28,0,47,11,-2,203,10094-40-3
methyl butyrate,25,-1,143,43,-6,220,2,19,102,10,174,148,-25,20,136,3,115,75,25,3,78,30,8,69,623-42-7
ethyl butyrate,12,1,121,29,73,193,15,37,121,22,199,74,-16,-3,39,-8,167,112,27,125,102,26,-9,81,105-54-4
hexyl butyrate,4,-4,2,-1,6,39,1,4,225,-8,7,17,-17,0,2,8,62,6,10,40,97,1,-7,28,2639-63-6
ethyl 3-hydroxybutyrate,53,-27,204,68,30,138,34,0,87,35,146,76,-35,42,35,39,96,89,5,210,235,72,-22,188,35608-64-1
ethyl propionate,21,85,58,38,-13,188,-5,81,1,1,168,55,-23,-5,99,4,11,47,18,44,57,26,-5,41,105-37-3
ethyl methanoate,3,108,24,3,-17,13,-5,0,-11,-14,9,-3,-11,3,27,3,-2,1,-2,1,22,8,-5,16,109-94-4
methyl hexanoate,39,40,53,17,36,256,9,-16,-10,3,58,210,-33,12,2,19,87,21,18,-16,228,33,-27,188,106-70-7
ethyl hexanoate,22,-13,20,-14,42,224,13,0,-21,6,4,138,-31,-2,-8,7,143,-3,10,-22,89,10,-11,55,123-66-0
hexyl hexanoate,1,-4,-3,-1,-25,31,-4,1,126,-14,-1,-1,4,-1,7,-2,-3,-4,-3,5,17,9,3,5,6378-65-0
methyl octanoate,1,-7,4,-13,0,237,-3,3,10,-13,4,58,-26,4,-8,22,-7,2,16,-12,62,1,-8,23,111-11-5
ethyl octanoate,1,-7,2,-14,-8,95,-4,-4,-12,-12,3,18,-7,-6,-2,7,-10,1,5,-8,39,1,-5,22,106-32-1
ethyl decanoate,5,-12,2,43,-17,6,-1,1,-10,-8,7,-3,-3,-2,3,-4,-7,-3,-4,-20,28,-2,-5,12,110-38-3
ethyl trans-2-butenoate,11,-2,103,146,9,210,9,-4,14,-22,191,44,-33,3,-7,2,104,34,16,91,80,24,-9,243,10544-63-5
ethyl lactate,39,31,75,31,24,70,11,2,5,7,93,29,-28,34,133,31,39,288,42,39,77,77,-7,66,2676-33-7
diethyl succinate,16,-11,21,-13,24,205,26,-8,-20,-8,4,36,-16,-3,-9,5,175,7,32,-12,35,12,5,4,123-25-1
spontaneous firing rate,8,17,3,14,29,4,9,25,17,21,2,1,47,8,2,18,11,6,16,14,13,7,26,12,
